"name_target","new.value","type","plant_group","comments"
"Polytrichastrum_alpinum","Polytrichastrum_alpinum","species","bryophytes",NA
"Polytrichastrum_sexangulare","Polytrichastrum_sexangulare","species","bryophytes",NA
"Polytrichum","Polytrichum_spp","species","bryophytes",NA
"Polytrichum_alpinum","Polytrichum_alpinum","species","bryophytes",NA
"Polytrichum_commune","Polytrichum_commune","species","bryophytes",NA
"Polytrichum_hyperboreum","Polytrichum_hyperboreum","species","bryophytes",NA
"Polytrichum_juniperinum","Polytrichum_juniperinum","species","bryophytes",NA
"Polytrichum_juniperium","Polytrichum_juniperium","species","bryophytes",NA
"Polytrichum_norvegicum","Polytrichum_norvegicum","species","bryophytes",NA
"Polytrichum_piliferum","Polytrichum_piliferum","species","bryophytes",NA
"Polytrichum_spp","Polytrichum_spp","species","bryophytes",NA
"Potentilla_crantzii","Potentilla_crantzii","species","forbs",NA
"Potentilla_egedii","Potentilla_egedii","species","forbs",NA
"prostrate_herbs","prostrate_herbs","group","forbs",NA
"Psoroma_hypnorum","Psoroma_hypnorum","species","lichens",NA
"Puccinellia_phryganodes","Puccinellia_phryganodes","species","graminoids",NA
"Racomitrium_lanuginosum","Racomitrium_lanuginosum","species","bryophytes",NA
"Ranunculus_acris","Ranunculus_acris","species","forbs",NA
"Ranunculus_cymbalaria","Ranunculus_cymbalaria","species","forbs",NA
"Ranunculus_hyperboreus","Ranunculus_hyperboreus","species","forbs",NA
"Ranunculus_spp","Ranunculus_spp","species","forbs",NA
"Rhododendron_subarcticum","Rhododendron_subarcticum","species","dwarf_shrubs",NA
"robust_bryophytes","robust_bryophytes","group","bryophytes",NA
"Rubus_arcticus","Rubus_arcticus","species","forbs",NA
"Rubus_chamaemorus","Rubus_chamaemorus","species","forbs",NA
"Rumex_acetosa","Rumex_acetosa","species","forbs",NA
"Rumex_acetosella","Rumex_acetosella","species","forbs",NA
"rushes","rushes","group","graminoids",NA
"Salix_arctica","Salix_arctica","species","dwarf_shrubs",NA
"Salix_glauca","Salix_glauca","species","tall_shrubs",NA
"Salix_hastigiata","Salix_hastigiata","species","tall_shrubs",NA
"Salix_herbacea","Salix_herbacea","species","dwarf_shrubs",NA
"Salix_lapponum","Salix_lapponum","species","tall_shrubs",NA
"Salix_ovalifolia","Salix_ovalifolia","species","tall_shrubs",NA
"Salix_phylicifolia","Salix_phylicifolia","species","tall_shrubs",NA
"Salix_planifolia","Salix_planifolia","species","tall_shrubs",NA
"Salix_polaris","Salix_polaris","species","dwarf_shrubs",NA
"Salix_polaris_female","Salix_polaris_female","species","dwarf_shrubs",NA
"Salix_polaris_male","Salix_polaris_male","species","dwarf_shrubs",NA
"Salix_spp","Salix_spp","species","tall_shrubs",NA
"Salix_uva-ursi","Salix_uva-ursi","species","dwarf_shrubs",NA
"Sanionia_spp","Sanionia_spp","species","bryophytes",NA
"Sanionia_spp.","Sanionia_spp","species","bryophytes",NA
"Sanionia_uncinata","Sanionia_uncinata","species","bryophytes",NA
"Saussurea_alpina","Saussurea_alpina","species","forbs",NA
"Saxifraga_cernua","Saxifraga_cernua","species","forbs",NA
"Saxifraga_cespitosa","Saxifraga_cespitosa","species","forbs",NA
"Saxifraga_oppositifolia","Saxifraga_oppositifolia","species","forbs",NA
"sedges","sedges","group","graminoids",NA
"short_shrubs","short_shrubs","group","dwarf_shrubs",NA
"Sibbaldia_procumbens","Sibbaldia_procumbens","species","forbs",NA
"Silene_acaulis","Silene_acaulis","species","forbs",NA
"small_bryophytes","small_bryophytes","group","bryophytes",NA
"Solidago_macrophylla","Solidago_macrophylla","species","forbs",NA
"Solidago_virgaurea","Solidago_virgaurea","species","forbs",NA
"Sphaerophorus_globosus","Sphaerophorus_globosus","species","lichens",NA
"Sphagnum","Sphagnum_spp","species","bryophytes",NA
"Sphagnum_spp","Sphagnum_spp","species","bryophytes",NA
"Stellaria_graminea","Stellaria_graminea","species","forbs",NA
"Stellaria_longipes","Stellaria_longipes","species","forbs",NA
"Stereocaulon","Stereocaulon_spp","species","lichens",NA
"Stereocaulon_paschale","Stereocaulon_paschale","species","lichens",NA
"Stereocaulon_spp","Stereocaulon_spp","species","lichens",NA
"Straminergon_stramineum","Straminergon_stramineum","species","bryophytes",NA
"tall_shrubs","tall_shrubs","group","tall_shrubs",NA
"Thamnolia_spp","Thamnolia_spp","species","lichens",NA
"Trientalis_europaea","Trientalis_europaea","species","forbs",NA
"Triglochin_palustris","Triglochin_palustris","species","graminoids",NA
"Trollius_europaeus","Trollius_europaeus","species","forbs",NA
"Vaccinium_caespitosum","Vaccinium_caespitosum","species","dwarf_shrubs",NA
"Vaccinium_myrtillus","Vaccinium_myrtillus","species","dwarf_shrubs",NA
"Vaccinium_uliginosum","Vaccinium_uliginosum","species","dwarf_shrubs",NA
"Vaccinium_vitis-idaea","Vaccinium_vitis-idaea","species","dwarf_shrubs",NA
"vascular_cryptogams","vascular_cryptogams","group","vascular_cryptogams","*cannot merge with others"
"vascular_plants","vascular_plants","group","total","*cannot merge with others; maybe a big assumption but we could pool them with community"
"Veronica_alpina","Veronica_alpina","species","forbs",NA
"Veronica_longifolia","Veronica_longifolia","species","forbs",NA
"Viola_biflora","Viola_biflora","species","forbs",NA
"Viola_epipsila","Viola_epipsila","species","forbs",NA
"Warnstorfia_spp","Warnstorfia_spp","species","bryophytes",NA
"woody_plants","woody_plants","group","woody_species",NA
