var_class,eco_response,model_id,model_call,estimate,ci.lb,ci.ub,pi.lb,pi.ub,pval
ecosystem processes,herbivory_marks,herbivory_marks_intercept_only,builds/models/null_models/herbivory_marks_intercept_only.rds,1.53633728466483,0.163482500783715,2.90919206854594,-3.6019231930737,6.67459776240335,0.0359737971712273
plant community,plant_structure,plant_structure_intercept_only,builds/models/null_models/plant_structure_intercept_only.rds,-0.193202829682616,-0.545761470789242,0.15935581142401,-3.0601255681048,2.67371990873957,0.268628955527717
plant chemistry,plant_C_content,plant_C_content_intercept_only,builds/models/null_models/plant_C_content_intercept_only.rds,-0.460217152292757,-1.114489331549,0.194055026963484,-3.07442142293606,2.15398711835055,0.149851685154768
plant chemistry,plant_N_content,plant_N_content_intercept_only,builds/models/null_models/plant_N_content_intercept_only.rds,0.297468845656037,-0.0847901680527963,0.679727859364869,-2.19536427448755,2.79030196579962,0.122324639786167
plant chemistry,plant_defense,plant_defense_intercept_only,builds/models/null_models/plant_defense_intercept_only.rds,-0.0399413614978184,-0.3407383565209,0.260855633525263,-0.982016038696033,0.902133315700396,0.767267371433731
soil properties,soil_N_labile,soil_N_labile_intercept_only,builds/models/null_models/soil_N_labile_intercept_only.rds,0.177255292963237,-0.13769234202869,0.492202927955164,-1.20245405006498,1.55696463599145,0.252424578340916
soil properties,soil_C_labile,soil_C_labile_intercept_only,builds/models/null_models/soil_C_labile_intercept_only.rds,0.038507287646909,-1.18168161667843,1.25869619197225,-3.97876258808225,4.05577716337607,0.945327968007568
soil properties,soil_C_total,soil_C_total_intercept_only,builds/models/null_models/soil_C_total_intercept_only.rds,-0.105840095298104,-0.400399617891439,0.188719427295231,-0.400399619632152,0.188719429035945,0.423623999459483
soil properties,soil_N_total,soil_N_total_intercept_only,builds/models/null_models/soil_N_total_intercept_only.rds,-0.384114699194665,-1.12011242857804,0.351883030188707,-3.2559043500878,2.48767495169847,0.263185965597143
soil properties,soil_compaction,soil_compaction_intercept_only,builds/models/null_models/soil_compaction_intercept_only.rds,0.366439075309837,-0.174728394405278,0.907606545024953,-0.596243079544652,1.32912123016433,0.133280326503855
soil properties,soil_moisture,soil_moisture_intercept_only,builds/models/null_models/soil_moisture_intercept_only.rds,-0.0364753804114933,-0.761492996900503,0.688542236077516,-2.97451171804813,2.90156095722514,0.916391111054071
plant community,plant_height,plant_height_intercept_only,builds/models/null_models/plant_height_intercept_only.rds,-1.20443169230318,-1.76954885056106,-0.639314534045293,-3.60870789486364,1.19984451025728,0.000388761456005906
plant community,plant_fitness,plant_fitness_intercept_only,builds/models/null_models/plant_fitness_intercept_only.rds,-0.40002267546456,-1.05775405541046,0.257708704481344,-4.14924973556056,3.34920438463144,0.211592362713029
plant community,plant_leaf_size,plant_leaf_size_intercept_only,builds/models/null_models/plant_leaf_size_intercept_only.rds,-0.810264884222097,-1.30152696763508,-0.319002800809117,-3.19079275014906,1.57026298170487,0.00286667433544776
plant community,plant_species_richness,plant_species_richness_intercept_only,builds/models/null_models/plant_species_richness_intercept_only.rds,0.00222508696924887,-0.179125263525847,0.183575437464344,-0.857159704975014,0.861609878913511,0.979780013751747
plant community,plant_diversity,plant_diversity_intercept_only,builds/models/null_models/plant_diversity_intercept_only.rds,0.127751877696239,-0.0714176319146381,0.326921387307115,-0.922856162307461,1.17835991769994,0.183438478155735
plant community,plant_structure_change,plant_structure_change_intercept_only,builds/models/null_models/plant_structure_change_intercept_only.rds,-0.0868453402375313,-0.411379181892928,0.237688501417865,-2.2914500766852,2.11775939621013,0.582900503640812
ecosystem processes,plant_productivity,plant_productivity_intercept_only,builds/models/null_models/plant_productivity_intercept_only.rds,-0.0520625161215228,-0.450805621947053,0.346680589704008,-1.68189756000661,1.57777252776357,0.786274455807208
plant chemistry,plant_CN_ratio,plant_CN_ratio_intercept_only,builds/models/null_models/plant_CN_ratio_intercept_only.rds,-0.468603331361384,-1.31498446611956,0.377777803396795,-3.37818140178763,2.44097473906486,0.248490731225744
